"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jun 12 15:02:16 BDT 2024","Wed Jun 12 15:02:23 BDT 2024","6945","","Purolator Courier Label Purchase Single Domestic","","","","OPen the app",""
"passed","Wed Jun 12 15:33:24 BDT 2024","Wed Jun 12 15:33:28 BDT 2024","4394","","Loomis API Single Domestic Signature","","",""," Label print and Download Done Domestic Shipment signature",""
"passed","Wed Jun 12 15:49:25 BDT 2024","Wed Jun 12 15:49:26 BDT 2024","884","","International Multi Package","","","","Review & Confirm DHL Courier International Multi Package",""
"broken","Wed Jun 12 15:57:32 BDT 2024","Wed Jun 12 15:59:04 BDT 2024","92282","","Quick Quote Domestic shipment Two","","","","Quick Quote Label Print & Download for Domestic shipment two",""
"passed","Wed Jun 12 15:10:33 BDT 2024","Wed Jun 12 15:11:32 BDT 2024","58800","","Loomis API Domestic Shipment Residential","","","","From Select Loomis API Domestic Shipment Residential",""
"passed","Wed Jun 12 15:05:44 BDT 2024","Wed Jun 12 15:06:33 BDT 2024","49095","","Canadapost Single Domestic Residential","","","","From Select Canadapost Domestic Shipment Residential",""
"passed","Wed Jun 12 15:51:06 BDT 2024","Wed Jun 12 15:51:16 BDT 2024","9397","","Quick Quote Domestic Shipment One","","","","Quick Quote Origin  address Domestic Shipment one",""
"passed","Wed Jun 12 14:57:38 BDT 2024","Wed Jun 12 14:57:47 BDT 2024","8124","","GLS Courier Label Purchase Single Domestic","","","","""before all"" hook for GLS Courier Label Purchase Single Domestic",""
"passed","Wed Jun 12 14:55:11 BDT 2024","Wed Jun 12 14:55:18 BDT 2024","7432","","Canadapost Xpresspost Courier Single Domestic","","","","Open the app",""
"passed","Wed Jun 12 15:01:41 BDT 2024","Wed Jun 12 15:01:46 BDT 2024","4510","","Loomis API Courier Label Purchase Single Domestic","","","","Review & Confirm Loomis API Single Domestic",""
"passed","Wed Jun 12 15:52:50 BDT 2024","Wed Jun 12 15:52:54 BDT 2024","4501","","Quick Quote Domestic Shipment One","","",""," Label print and Download Done Quick Quote Domestic Shipment",""
"passed","Wed Jun 12 15:50:04 BDT 2024","Wed Jun 12 15:51:06 BDT 2024","62858","","Quick Quote Domestic Shipment One","","","","Quick Quote Origin Destination postal code province country address Domestic Shipment",""
"passed","Wed Jun 12 15:20:50 BDT 2024","Wed Jun 12 15:21:48 BDT 2024","58166","","GLS Single Domestic Insurance","","","","From Select GLS Single Domestic Insurance",""
"passed","Wed Jun 12 15:02:07 BDT 2024","Wed Jun 12 15:02:12 BDT 2024","4409","","Loomis API Courier Label Purchase Single Domestic","","",""," Label print and Download Done Loomis API Single Domestic",""
"passed","Wed Jun 12 15:09:43 BDT 2024","Wed Jun 12 15:09:50 BDT 2024","7252","","Loomis API Domestic Shipment Residential","","","","""before all"" hook for Loomis API Domestic Shipment Residential",""
"passed","Wed Jun 12 15:36:32 BDT 2024","Wed Jun 12 15:36:43 BDT 2024","10554","","GLS Multi-Package Domestic","","","","Lets Build Your Shipment GLS Multi-Package Domestic",""
"passed","Wed Jun 12 15:21:52 BDT 2024","Wed Jun 12 15:22:07 BDT 2024","15589","","GLS Single Domestic Insurance","","","","Label Print & Download GLS Single Domestic Insurance",""
"passed","Wed Jun 12 15:48:51 BDT 2024","Wed Jun 12 15:49:25 BDT 2024","33957","","International Multi Package","","","","Select DHL courier International Multi Package",""
"passed","Wed Jun 12 15:45:05 BDT 2024","Wed Jun 12 15:45:09 BDT 2024","3484","","International Single Document","","","","Lets Build Your Commercial Invoice International Single Document",""
"passed","Wed Jun 12 15:04:44 BDT 2024","Wed Jun 12 15:04:51 BDT 2024","7411","","Canadapost Single Domestic Residential","","","","""before all"" hook for Canadapost Single Domestic Residential",""
"passed","Wed Jun 12 15:59:14 BDT 2024","Wed Jun 12 15:59:21 BDT 2024","7597","","Quick Quote DHL","","","","""before all"" hook for Quick Quote DHL",""
"passed","Wed Jun 12 15:25:04 BDT 2024","Wed Jun 12 15:25:22 BDT 2024","17739","","Purolator Single Domestic Insurance","","","","Lets Build Your Shipment Purolator  Single Domestic Insurance",""
"passed","Wed Jun 12 15:11:36 BDT 2024","Wed Jun 12 15:11:53 BDT 2024","17344","","Loomis API Domestic Shipment Residential","","","","Label Print & Download Loomis API Domestic Shipment Residential",""
"passed","Wed Jun 12 15:46:19 BDT 2024","Wed Jun 12 15:46:48 BDT 2024","29468","","International Insurance Default","","","","Origin Destination Address International Insurance Default",""
"passed","Wed Jun 12 15:31:51 BDT 2024","Wed Jun 12 15:32:00 BDT 2024","8657","","Loomis API Single Domestic Signature","","","","Lets Build Your Shipment Loomis API Single Domestic Signature",""
"passed","Wed Jun 12 15:40:16 BDT 2024","Wed Jun 12 15:40:42 BDT 2024","26012","","Purolator Multi-Package Domestic","","","","Destination Address Purolator Multi-Package Domestic",""
"passed","Wed Jun 12 15:39:32 BDT 2024","Wed Jun 12 15:39:36 BDT 2024","4023","","Loomis API Multi-Package Domestic","","","","Review & Confirm Loomis API Multi-Package Domestic",""
"passed","Wed Jun 12 15:46:02 BDT 2024","Wed Jun 12 15:46:07 BDT 2024","4433","","International Single Document","","",""," Label print and Download Done International Single Document",""
"passed","Wed Jun 12 15:07:26 BDT 2024","Wed Jun 12 15:07:33 BDT 2024","7372","","GLS Domestic Shipment Residential","","","","""before all"" hook for GLS Domestic Shipment Residential",""
"passed","Wed Jun 12 15:40:42 BDT 2024","Wed Jun 12 15:40:51 BDT 2024","8980","","Purolator Multi-Package Domestic","","","","Lets Build Your Shipment Purolator Multi-Package Domestic",""
"passed","Wed Jun 12 15:24:22 BDT 2024","Wed Jun 12 15:24:27 BDT 2024","4367","","Loomis API Single Domestic Insurance","","",""," Label print and Download Done Domestic Shipment Insurance",""
"passed","Wed Jun 12 15:45:09 BDT 2024","Wed Jun 12 15:45:41 BDT 2024","31962","","International Single Document","","","","Select DHL courier International Single Document",""
"passed","Wed Jun 12 15:36:08 BDT 2024","Wed Jun 12 15:36:32 BDT 2024","24313","","GLS Multi-Package Domestic","","","","Destination Address GLS Multi-Package Domestic",""
"passed","Wed Jun 12 15:52:32 BDT 2024","Wed Jun 12 15:52:33 BDT 2024","1365","","Quick Quote Domestic Shipment One","","","","Quick Quote Review & Confirm Domestic Shipment Courier",""
"passed","Wed Jun 12 15:37:59 BDT 2024","Wed Jun 12 15:38:06 BDT 2024","7179","","Loomis API Multi-Package Domestic","","","","""before all"" hook for Loomis API Multi-Package Domestic",""
"passed","Wed Jun 12 14:55:18 BDT 2024","Wed Jun 12 14:55:45 BDT 2024","26614","","Canadapost Xpresspost Courier Single Domestic","","","","Origin Destination Address Canadapost Single Domestic",""
"passed","Wed Jun 12 15:33:41 BDT 2024","Wed Jun 12 15:34:08 BDT 2024","26973","","Purolator Single Domestic Signature","","","","Destination Address Purolator Single Domestic Signature",""
"passed","Wed Jun 12 15:44:00 BDT 2024","Wed Jun 12 15:44:19 BDT 2024","19484","","International Single Parcel","","","","Label Print & Download DHL Courier International Single Parcel",""
"passed","Wed Jun 12 15:33:03 BDT 2024","Wed Jun 12 15:33:24 BDT 2024","20619","","Loomis API Single Domestic Signature","","","","Label Print & Download Loomis Single Domestic Signature",""
"passed","Wed Jun 12 15:51:16 BDT 2024","Wed Jun 12 15:51:36 BDT 2024","20019","","Quick Quote Domestic Shipment One","","",""," Quick Quote Destination Domestic Shipment ",""
"passed","Wed Jun 12 15:21:48 BDT 2024","Wed Jun 12 15:21:52 BDT 2024","3129","","GLS Single Domestic Insurance","","","","Review & Confirm GLS Single Domestic Insurance",""
"passed","Wed Jun 12 15:59:21 BDT 2024","Wed Jun 12 15:59:26 BDT 2024","5216","","Quick Quote DHL","","","","Quick Quote DHL",""
"passed","Wed Jun 12 15:19:33 BDT 2024","Wed Jun 12 15:19:59 BDT 2024","25979","","Canadapost Single Domestic Insurance","","","","Label Print & Download Canadapost Single Domestic Insurance",""
"broken","Wed Jun 12 16:03:34 BDT 2024","Wed Jun 12 16:05:06 BDT 2024","92232","","Quick Quote DHL","","","","Label Print & Download DHL Courier Quick Quote DHL",""
